,economy,regionwb,pop_scaled_wgt,female,age,educ,inc_q,emp_in,urbanicity_f2f,account,fin14_1,fin16,fin17a,fin17b,fin22a,fin22b,fin24,fin33,receive_wages,pay_utilities,remittances,mobileowner,internetaccess,merchantpay_dig,receive_welfare_payments,internet_fin_transc
2003,Algeria,1,61190.22764111576,2,57.0,1,1,1.0,,1,2,2,2,2.0,2,1,2,1.0,1,2,5.0,1,2,0.0,2,2
2004,Algeria,1,9554.375642546547,2,32.0,3,5,1.0,,1,2,1,1,2.0,1,1,2,2.0,1,2,2.0,1,1,1.0,2,2
2005,Algeria,1,11104.03019164372,2,20.0,2,1,1.0,,0,1,2,1,1.0,2,1,2,2.0,2,2,1.0,1,1,0.0,2,1
2007,Algeria,1,7070.671657228643,2,41.0,3,4,1.0,,1,2,2,1,2.0,2,1,2,2.0,1,2,2.0,1,1,0.0,2,2
2009,Algeria,1,9177.806063697033,2,31.0,3,4,1.0,,1,2,2,1,2.0,2,2,2,1.0,1,2,3.0,1,1,0.0,2,2
2011,Algeria,1,5508.641370631518,1,52.0,2,3,1.0,,1,2,2,2,2.0,2,2,1,2.0,1,2,5.0,1,1,0.0,2,2
2013,Algeria,1,8584.469959312888,1,33.0,3,4,1.0,,1,2,2,2,2.0,2,2,2,1.0,1,4,1.0,1,1,0.0,2,2
2016,Algeria,1,8584.469959312888,1,30.0,3,5,1.0,,1,2,1,1,2.0,2,1,1,1.0,1,4,5.0,1,1,0.0,2,2
2017,Algeria,1,6571.513489771775,1,39.0,3,5,1.0,,1,2,2,2,2.0,2,2,3,1.0,1,2,5.0,1,1,0.0,2,2
2018,Algeria,1,29616.210565090252,2,40.0,2,3,1.0,,1,2,2,2,2.0,2,2,3,2.0,1,2,2.0,1,1,0.0,2,2
2019,Algeria,1,14839.695589193858,2,62.0,2,2,2.0,,1,2,1,2,2.0,2,2,1,2.0,1,1,3.0,1,1,0.0,2,2
2023,Algeria,1,34279.682092614385,2,31.0,2,5,1.0,,1,1,1,2,2.0,2,1,2,1.0,1,4,5.0,1,1,1.0,2,1
2026,Algeria,1,6573.648690545499,2,40.0,3,5,1.0,,1,1,1,1,2.0,2,2,1,1.0,1,2,5.0,1,1,1.0,2,1
2028,Algeria,1,5508.641370631518,2,45.0,2,3,1.0,,1,2,1,1,2.0,2,1,2,2.0,1,3,5.0,1,2,0.0,2,2
2029,Algeria,1,16603.80052974081,2,50.0,2,3,1.0,,1,2,1,1,2.0,2,2,3,1.0,1,2,5.0,1,2,0.0,2,2
2030,Algeria,1,6953.715346276466,2,57.0,2,2,1.0,,1,2,2,2,2.0,2,1,2,1.0,1,4,3.0,1,2,0.0,2,2
2035,Algeria,1,153017.81585087546,2,24.0,1,1,1.0,,1,2,2,2,2.0,2,2,6,1.0,1,2,3.0,1,2,0.0,1,2
2040,Algeria,1,5508.641370631518,1,43.0,3,2,1.0,,1,2,1,2,2.0,2,2,1,1.0,1,4,5.0,1,1,0.0,2,2
2043,Algeria,1,10563.91024933323,2,62.0,2,4,1.0,,1,2,1,2,2.0,2,2,3,2.0,2,4,5.0,1,1,0.0,2,2
2045,Algeria,1,34279.682092614385,2,27.0,2,2,1.0,,0,2,2,2,2.0,2,1,2,2.0,2,4,5.0,1,1,0.0,2,2
2046,Algeria,1,40019.45141355029,2,30.0,1,5,1.0,,1,2,2,2,2.0,2,2,1,1.0,1,2,5.0,1,1,0.0,2,2
2048,Algeria,1,27423.74567409157,2,32.0,2,2,1.0,,1,2,1,2,1.0,2,2,3,1.0,1,4,5.0,1,1,0.0,2,2
2049,Algeria,1,8292.83224099787,2,28.0,3,3,1.0,,1,2,1,1,2.0,2,1,5,2.0,1,4,3.0,1,1,0.0,2,2
2053,Algeria,1,5508.641370631518,2,51.0,3,2,1.0,,1,2,1,1,2.0,2,2,1,1.0,1,2,5.0,1,1,0.0,2,2
2054,Algeria,1,11421.453181474448,1,23.0,3,5,1.0,,1,1,1,1,2.0,2,2,1,2.0,1,2,5.0,1,1,1.0,2,1
2055,Algeria,1,7353.2467523831965,1,34.0,3,2,1.0,,1,2,2,1,2.0,1,2,1,1.0,1,4,1.0,1,1,0.0,2,2
2056,Algeria,1,9085.106491866703,1,22.0,3,5,1.0,,1,1,1,2,2.0,2,2,1,2.0,1,4,1.0,1,1,1.0,2,1
2057,Algeria,1,11154.154544976907,2,26.0,3,1,1.0,,1,2,2,1,2.0,2,1,4,1.0,2,2,5.0,1,1,0.0,2,1
2058,Algeria,1,5508.641370631518,1,52.0,3,4,1.0,,1,2,1,1,2.0,2,1,1,1.0,1,2,5.0,1,1,0.0,2,2
2066,Algeria,1,20274.033724040408,1,29.0,2,5,1.0,,1,2,1,1,2.0,1,1,2,2.0,1,4,5.0,1,1,0.0,2,2
2067,Algeria,1,25368.52073428163,2,40.0,2,5,1.0,,1,2,2,2,2.0,2,2,2,1.0,1,2,1.0,1,1,0.0,2,2
2071,Algeria,1,5508.641370631518,1,39.0,3,1,1.0,,1,2,1,1,2.0,2,1,1,1.0,1,4,5.0,1,1,0.0,1,2
2075,Algeria,1,32688.96254311895,2,38.0,2,2,2.0,,0,2,1,2,2.0,2,1,1,2.0,2,2,5.0,1,1,0.0,2,2
2076,Algeria,1,7070.671657228643,2,41.0,3,4,1.0,,1,2,1,1,2.0,2,2,1,1.0,1,2,5.0,1,1,1.0,2,2
2082,Algeria,1,5624.330265919166,2,45.0,3,4,1.0,,1,2,2,2,2.0,2,2,3,1.0,1,2,3.0,1,1,0.0,2,2
2084,Algeria,1,5508.641370631518,1,48.0,3,5,1.0,,1,2,2,2,2.0,2,1,2,1.0,1,2,5.0,1,1,0.0,2,2
2088,Algeria,1,6791.993076046517,2,35.0,3,5,1.0,,1,2,1,1,2.0,2,2,1,1.0,1,2,2.0,1,1,0.0,2,1
2090,Algeria,1,8882.764180881664,2,26.0,3,4,1.0,,1,2,2,2,2.0,2,2,3,2.0,1,4,5.0,1,1,0.0,2,2
2095,Algeria,1,6791.993076046517,2,40.0,3,2,1.0,,1,2,2,2,1.0,2,1,1,1.0,1,4,1.0,1,1,0.0,2,2
2101,Algeria,1,24508.29146716114,2,42.0,1,1,1.0,,1,2,2,2,2.0,2,1,7,2.0,1,2,5.0,1,1,0.0,2,2
2106,Algeria,1,111855.1042891996,2,65.0,1,3,2.0,,0,2,2,2,2.0,2,2,1,1.0,3,2,1.0,1,1,0.0,2,2
2107,Algeria,1,42353.3403415033,2,20.0,2,5,1.0,,1,2,2,2,2.0,2,2,2,1.0,1,2,1.0,1,1,0.0,2,2
2117,Algeria,1,13634.297228553967,2,35.0,3,4,2.0,,0,2,2,2,2.0,2,2,3,2.0,2,2,5.0,1,1,0.0,2,2
2119,Algeria,1,5508.641370631518,1,35.0,3,5,1.0,,1,2,2,1,2.0,2,2,1,1.0,1,2,5.0,1,1,1.0,2,2
2122,Algeria,1,32928.60632045951,2,27.0,2,2,1.0,,1,2,1,1,2.0,2,2,3,2.0,1,4,5.0,1,1,1.0,2,2
2123,Algeria,1,5508.641370631518,1,40.0,3,3,1.0,,1,2,1,1,1.0,2,2,1,1.0,1,2,3.0,1,1,0.0,2,1
2124,Algeria,1,25368.52073428163,2,37.0,2,5,1.0,,1,1,1,1,2.0,2,2,1,2.0,1,2,5.0,1,1,1.0,2,1
2126,Algeria,1,7945.171610788462,1,23.0,2,1,1.0,,0,2,1,2,1.0,2,1,2,2.0,2,4,3.0,2,2,0.0,2,1
2127,Algeria,1,7070.671657228643,2,39.0,3,4,1.0,,1,2,2,2,2.0,2,1,2,1.0,1,2,3.0,1,1,0.0,2,2
2132,Algeria,1,20179.262435634337,2,46.0,2,3,1.0,,1,2,2,2,2.0,2,1,2,1.0,1,2,2.0,1,1,0.0,2,2
2133,Algeria,1,34279.682092614385,2,34.0,2,3,1.0,,0,2,2,2,2.0,2,2,2,2.0,2,2,5.0,1,1,0.0,2,2
2135,Algeria,1,16070.032814865837,2,48.0,2,5,1.0,,1,2,1,2,2.0,1,1,1,2.0,2,4,5.0,1,1,0.0,2,1
2140,Algeria,1,6352.897426740321,1,36.0,3,3,1.0,,1,2,2,2,2.0,2,1,2,1.0,1,4,5.0,1,1,0.0,2,2
2141,Algeria,1,111855.1042891996,2,70.0,1,5,2.0,,1,2,1,2,2.0,2,2,1,1.0,1,2,2.0,1,1,0.0,2,2
2142,Algeria,1,44091.117259491926,2,22.0,2,3,1.0,,1,2,2,2,2.0,2,1,2,1.0,1,4,1.0,1,1,0.0,2,1
2146,Algeria,1,5508.641370631518,2,52.0,3,5,1.0,,1,2,1,1,2.0,2,2,1,1.0,1,2,5.0,1,1,0.0,2,2
2147,Algeria,1,6644.206831236145,1,32.0,3,5,1.0,,1,2,1,2,2.0,1,1,2,1.0,1,2,2.0,1,1,0.0,2,2
2151,Algeria,1,41178.96589981619,2,24.0,1,2,1.0,,1,1,2,1,1.0,2,2,2,2.0,1,1,3.0,1,1,1.0,2,1
2152,Algeria,1,17285.06205666695,2,47.0,2,1,1.0,,1,2,1,2,2.0,2,2,1,1.0,1,2,5.0,1,1,1.0,2,2
2157,Algeria,1,14362.639123121746,2,58.0,2,2,2.0,,1,2,1,2,2.0,1,2,1,1.0,1,2,5.0,1,1,0.0,1,2
2160,Algeria,1,9048.786832681102,2,55.0,2,2,1.0,,1,2,2,2,2.0,2,2,2,2.0,2,2,3.0,1,1,0.0,2,2
2162,Algeria,1,41665.83167580637,1,40.0,2,3,1.0,,1,2,2,2,2.0,1,1,2,1.0,2,4,1.0,1,1,0.0,2,2
2164,Algeria,1,40978.479258564155,1,22.0,2,4,1.0,,1,2,1,1,2.0,2,2,2,2.0,1,4,5.0,1,1,0.0,2,2
2166,Algeria,1,6382.336640882081,1,25.0,3,3,1.0,,1,2,1,1,2.0,2,2,1,1.0,1,4,3.0,1,1,0.0,2,2
2167,Algeria,1,9554.375642546547,2,29.0,3,5,1.0,,1,2,2,2,2.0,2,1,2,1.0,3,2,3.0,1,1,0.0,2,1
2168,Algeria,1,51473.70737477008,2,21.0,1,4,1.0,,1,2,2,1,2.0,1,2,1,1.0,1,1,1.0,1,1,0.0,1,1
2170,Algeria,1,6953.715346276466,2,58.0,2,5,1.0,,1,2,1,1,2.0,2,2,1,1.0,1,2,1.0,1,1,0.0,2,2
2176,Algeria,1,29616.210565090252,2,38.0,1,3,1.0,,1,2,2,2,2.0,2,2,3,2.0,1,2,5.0,1,1,0.0,2,2
2177,Algeria,1,7239.029466144894,2,57.0,2,2,1.0,,1,2,1,1,2.0,2,2,3,1.0,1,2,5.0,1,1,0.0,2,2
2179,Algeria,1,11537.991586450833,2,29.0,3,5,1.0,,1,1,1,1,2.0,2,1,1,1.0,1,2,3.0,1,1,1.0,2,1
2181,Algeria,1,27423.74567409157,2,29.0,2,2,1.0,,1,2,2,2,2.0,2,1,2,2.0,1,4,3.0,1,1,0.0,2,2
2182,Algeria,1,6791.993076046517,2,37.0,2,4,1.0,,1,2,1,2,2.0,2,2,3,1.0,3,1,2.0,1,1,0.0,2,2
2185,Algeria,1,32928.60632045951,2,34.0,2,2,1.0,,1,2,2,2,2.0,2,2,2,1.0,1,2,5.0,1,1,0.0,2,2
2186,Algeria,1,6388.879158877723,2,40.0,2,3,1.0,,1,2,2,2,2.0,2,2,2,1.0,1,2,2.0,1,1,0.0,2,2
2187,Algeria,1,10078.610485957084,2,25.0,3,4,1.0,,1,1,2,2,2.0,2,2,1,2.0,3,4,5.0,1,1,1.0,2,1
2189,Algeria,1,17285.06205666695,2,46.0,2,2,1.0,,1,2,2,2,2.0,2,2,3,1.0,1,4,5.0,1,2,0.0,2,2
2193,Algeria,1,5740.316611462849,1,43.0,3,4,1.0,,1,2,2,2,2.0,2,2,2,1.0,1,2,5.0,1,1,0.0,2,2
2195,Algeria,1,9554.375642546547,2,30.0,3,5,1.0,,1,1,1,1,2.0,2,2,1,1.0,1,2,2.0,1,1,1.0,2,2
2197,Algeria,1,11154.154544976907,2,25.0,3,3,1.0,,1,2,2,2,2.0,2,2,2,2.0,2,4,3.0,1,1,0.0,2,2
2200,Algeria,1,30635.364333951544,2,44.0,2,2,1.0,,1,2,2,2,2.0,2,2,3,2.0,2,4,3.0,1,1,0.0,2,2
2204,Algeria,1,41178.96589981619,2,17.0,1,2,1.0,,0,2,2,2,2.0,2,1,1,2.0,2,4,5.0,1,1,0.0,2,2
2206,Algeria,1,6791.993076046517,2,39.0,3,4,1.0,,1,1,2,1,2.0,2,2,1,2.0,1,2,3.0,1,1,1.0,2,1
2208,Algeria,1,5508.641370631518,1,36.0,3,5,1.0,,1,2,1,1,2.0,1,2,1,2.0,1,4,5.0,1,1,0.0,2,2
2209,Algeria,1,34279.682092614385,2,25.0,2,5,1.0,,1,2,2,2,2.0,2,2,1,2.0,1,4,5.0,1,1,0.0,2,2
2212,Algeria,1,7353.2467523831965,1,31.0,2,4,1.0,,1,2,2,2,2.0,2,1,3,1.0,1,2,5.0,1,1,0.0,2,2
2214,Algeria,1,5508.641370631518,2,55.0,3,5,1.0,,1,2,2,1,2.0,2,2,1,1.0,1,2,1.0,1,1,0.0,2,2
2219,Algeria,1,40019.45141355029,2,34.0,2,4,1.0,,1,2,1,2,1.0,2,1,3,1.0,1,2,3.0,1,1,0.0,2,2
2222,Algeria,1,5508.641370631518,1,52.0,2,2,1.0,,1,2,1,2,2.0,2,2,1,2.0,1,1,2.0,1,1,0.0,2,2
2223,Algeria,1,31859.688049069842,1,32.0,2,3,1.0,,0,2,2,2,2.0,2,1,2,2.0,2,2,5.0,1,1,0.0,2,2
2224,Algeria,1,40019.45141355029,2,27.0,2,5,1.0,,1,2,2,2,2.0,2,2,2,2.0,1,2,5.0,1,1,0.0,2,2
2225,Algeria,1,5508.641370631518,2,56.0,3,4,1.0,,1,2,2,1,2.0,1,2,7,1.0,1,4,3.0,1,1,0.0,1,2
2229,Algeria,1,15029.395991943926,2,65.0,2,4,2.0,,0,2,1,2,2.0,2,2,1,1.0,3,2,5.0,1,1,0.0,1,2
2232,Algeria,1,6836.36056493218,1,32.0,3,5,1.0,,1,2,2,1,2.0,2,2,1,1.0,1,4,2.0,1,1,0.0,2,2
2234,Algeria,1,6571.513489771775,1,39.0,3,4,1.0,,1,2,1,2,1.0,2,2,1,1.0,1,4,5.0,1,1,0.0,2,2
2236,Algeria,1,25342.5421550505,1,28.0,1,4,1.0,,0,2,2,2,2.0,2,2,2,2.0,2,4,5.0,1,1,0.0,2,2
2237,Algeria,1,16143.409948507451,2,53.0,2,1,1.0,,1,2,2,2,2.0,2,1,2,1.0,1,2,5.0,1,2,0.0,2,2
2238,Algeria,1,20179.262435634337,2,52.0,2,3,1.0,,1,2,1,1,2.0,2,2,1,2.0,1,2,5.0,1,1,1.0,2,2
2241,Algeria,1,5508.641370631518,2,50.0,2,3,1.0,,1,2,1,1,2.0,2,2,1,1.0,1,2,5.0,1,1,0.0,2,2
2242,Algeria,1,17615.829541099483,2,43.0,3,4,1.0,,1,2,2,2,2.0,2,1,1,1.0,2,2,5.0,1,1,0.0,2,2
2243,Algeria,1,34279.682092614385,2,32.0,1,5,1.0,,1,2,2,2,2.0,2,2,3,2.0,1,2,3.0,1,1,0.0,2,2
2244,Algeria,1,7353.2467523831965,1,26.0,3,4,1.0,,1,1,2,1,2.0,2,2,1,1.0,1,2,2.0,1,1,1.0,2,2
2246,Algeria,1,20294.81658742531,2,42.0,2,3,1.0,,1,2,1,2,2.0,2,2,1,2.0,1,2,5.0,1,1,0.0,2,2
2247,Algeria,1,34279.682092614385,2,33.0,2,5,1.0,,1,1,2,1,2.0,2,1,3,2.0,1,1,1.0,1,1,1.0,2,1
2248,Algeria,1,28150.862222741118,1,25.0,2,3,2.0,,1,2,1,2,2.0,2,2,1,1.0,1,2,5.0,1,1,0.0,1,1
2252,Algeria,1,6352.897426740321,1,41.0,3,5,1.0,,1,2,2,2,2.0,2,2,3,1.0,1,4,5.0,1,1,0.0,2,2
2253,Algeria,1,7353.2467523831965,1,28.0,3,3,1.0,,1,1,2,2,2.0,2,2,1,1.0,1,2,3.0,1,1,1.0,2,1
2254,Algeria,1,5508.641370631518,2,48.0,2,1,1.0,,1,2,1,2,1.0,2,2,1,1.0,1,2,5.0,1,1,0.0,2,2
2255,Algeria,1,10323.487932642367,2,24.0,3,2,1.0,,1,2,2,1,2.0,2,2,3,1.0,1,4,5.0,1,1,0.0,2,2
2259,Algeria,1,32928.60632045951,2,28.0,2,4,1.0,,1,2,2,2,2.0,2,2,2,1.0,1,2,5.0,1,1,0.0,2,2
2261,Algeria,1,100500.21251943517,1,67.0,1,1,2.0,,0,2,2,2,2.0,2,2,7,2.0,2,4,3.0,2,2,0.0,2,2
2262,Algeria,1,5508.641370631518,2,55.0,3,2,1.0,,1,2,1,1,2.0,2,2,1,1.0,1,2,5.0,1,1,0.0,2,2
2264,Algeria,1,29616.210565090252,2,40.0,1,2,1.0,,1,2,2,2,2.0,2,1,2,1.0,1,4,5.0,1,1,0.0,2,2
2265,Algeria,1,5508.641370631518,2,50.0,3,5,1.0,,1,2,1,1,2.0,2,2,1,1.0,2,2,5.0,1,1,0.0,1,1
2266,Algeria,1,5508.641370631518,1,43.0,3,4,1.0,,1,2,1,1,1.0,2,2,1,1.0,1,2,5.0,1,1,0.0,2,2
2268,Algeria,1,31859.688049069842,1,26.0,2,5,1.0,,1,1,1,1,2.0,2,2,2,2.0,1,4,3.0,1,1,1.0,2,1
2271,Algeria,1,23577.615296342112,1,38.0,2,5,1.0,,1,2,1,1,2.0,2,2,1,1.0,1,4,5.0,1,1,0.0,2,2
2272,Algeria,1,18151.720345410584,1,41.0,2,4,1.0,,1,1,2,2,2.0,2,2,3,1.0,1,1,5.0,1,1,1.0,2,1
2275,Algeria,1,34279.682092614385,2,25.0,2,5,1.0,,0,2,2,2,2.0,2,2,2,2.0,2,2,5.0,1,1,0.0,2,2
2277,Algeria,1,6836.36056493218,1,25.0,3,5,1.0,,1,2,1,1,2.0,2,2,6,1.0,1,4,5.0,1,1,0.0,2,2
2279,Algeria,1,5508.641370631518,2,47.0,3,3,1.0,,1,2,1,1,2.0,2,2,3,1.0,1,2,5.0,1,1,0.0,2,2
2283,Algeria,1,7239.029466144894,2,57.0,1,4,1.0,,0,2,1,2,2.0,2,2,1,2.0,2,2,5.0,1,2,0.0,2,2
2286,Algeria,1,20009.725706775083,2,30.0,2,5,1.0,,1,2,1,1,2.0,2,2,1,1.0,1,2,1.0,1,1,0.0,2,2
2287,Algeria,1,6791.993076046517,2,36.0,2,5,1.0,,1,2,2,2,2.0,2,2,1,1.0,1,2,1.0,1,1,0.0,2,2
2288,Algeria,1,5939.781841499239,2,42.0,3,1,1.0,,1,2,2,2,2.0,1,2,3,1.0,1,2,3.0,1,1,0.0,2,2
2290,Algeria,1,18754.631515626512,1,40.0,2,5,1.0,,1,2,2,2,2.0,2,2,1,1.0,1,2,5.0,1,1,0.0,2,2
2293,Algeria,1,6791.993076046517,2,35.0,3,2,1.0,,1,2,1,1,2.0,2,2,2,2.0,1,2,5.0,1,1,0.0,2,2
2301,Algeria,1,9085.106491866703,1,24.0,3,1,1.0,,1,2,2,2,2.0,2,2,7,1.0,1,4,5.0,1,1,0.0,2,2
2302,Algeria,1,8879.878951407985,1,33.0,3,5,1.0,,1,1,2,1,2.0,2,2,1,1.0,1,4,5.0,1,1,1.0,2,1
2304,Algeria,1,25342.5421550505,1,29.0,2,2,1.0,,0,2,2,2,2.0,2,1,5,2.0,2,2,5.0,1,1,0.0,2,1
2305,Algeria,1,44091.117259491926,2,22.0,1,4,1.0,,1,2,2,2,2.0,2,1,3,1.0,1,4,1.0,1,1,0.0,2,2
2306,Algeria,1,5508.641370631518,1,55.0,2,3,1.0,,1,2,2,2,2.0,2,2,2,1.0,1,2,2.0,1,1,0.0,2,2
2307,Algeria,1,5508.641370631518,2,51.0,3,5,1.0,,1,2,1,1,1.0,1,2,1,1.0,1,2,5.0,1,1,0.0,2,2
2309,Algeria,1,40019.45141355029,2,27.0,2,5,1.0,,0,2,2,2,2.0,2,1,2,2.0,2,4,5.0,2,1,0.0,2,2
2311,Algeria,1,7063.43095108781,1,31.0,2,5,1.0,,1,2,2,1,2.0,2,2,1,1.0,1,4,5.0,1,1,0.0,2,1
2312,Algeria,1,42353.3403415033,2,18.0,1,1,1.0,,0,2,2,2,2.0,2,1,7,2.0,2,4,5.0,1,1,0.0,2,2
2313,Algeria,1,5508.641370631518,1,40.0,3,2,1.0,,0,2,2,2,2.0,2,1,3,1.0,3,2,3.0,1,1,0.0,2,2
2314,Algeria,1,8882.764180881664,2,30.0,3,4,1.0,,1,2,2,2,2.0,2,2,2,1.0,1,2,2.0,1,1,0.0,2,2
2322,Algeria,1,40019.45141355029,2,29.0,2,5,1.0,,1,2,2,2,2.0,2,2,2,2.0,1,4,5.0,1,1,0.0,2,2
2323,Algeria,1,34279.682092614385,2,28.0,2,4,1.0,,0,2,2,2,2.0,2,2,2,2.0,2,2,5.0,1,1,0.0,2,2
2326,Algeria,1,22793.253301228,1,36.0,2,3,1.0,,1,2,2,1,2.0,2,1,1,1.0,1,2,5.0,1,1,0.0,2,2
2327,Algeria,1,8254.580660437125,2,38.0,3,4,1.0,,1,2,1,1,1.0,2,1,3,1.0,1,2,3.0,1,1,0.0,2,2
2328,Algeria,1,41178.96589981619,2,20.0,2,2,1.0,,0,2,2,2,2.0,2,2,3,2.0,2,4,5.0,1,1,0.0,2,2
2338,Algeria,1,10078.610485957084,2,28.0,3,4,1.0,,1,2,2,2,1.0,2,2,1,2.0,1,4,5.0,1,1,0.0,2,2
2339,Algeria,1,6791.993076046517,2,40.0,3,2,1.0,,1,2,1,1,2.0,2,2,1,1.0,1,2,5.0,1,1,0.0,2,2
2342,Algeria,1,17285.06205666695,2,51.0,2,4,1.0,,1,2,1,1,2.0,2,2,1,1.0,1,2,5.0,1,1,0.0,2,2
2343,Algeria,1,6573.648690545499,2,35.0,3,5,1.0,,1,2,2,2,2.0,2,2,1,1.0,1,2,5.0,1,1,0.0,2,2
2346,Algeria,1,5508.641370631518,2,45.0,3,1,1.0,,1,2,1,2,2.0,2,1,1,1.0,1,2,5.0,1,1,1.0,2,2
2348,Algeria,1,5508.641370631518,2,53.0,3,5,1.0,,1,1,1,1,2.0,2,2,1,1.0,1,3,1.0,1,1,1.0,2,1
2350,Algeria,1,38749.05498947097,1,55.0,1,4,1.0,,1,2,1,1,2.0,2,2,1,2.0,2,2,1.0,1,1,0.0,2,2
2355,Algeria,1,6953.715346276466,2,56.0,2,2,1.0,,1,2,2,2,2.0,2,1,2,1.0,1,2,5.0,1,2,0.0,2,2
2359,Algeria,1,16464.30316022979,2,26.0,2,3,1.0,,1,1,2,2,2.0,2,2,4,2.0,1,4,5.0,1,1,1.0,2,2
2361,Algeria,1,6791.993076046517,2,40.0,3,2,1.0,,1,2,2,2,1.0,2,1,2,1.0,1,2,1.0,1,1,0.0,2,2
2362,Algeria,1,7063.43095108781,1,32.0,3,3,1.0,,1,2,2,1,2.0,2,2,3,2.0,2,4,5.0,1,1,0.0,2,2
2371,Algeria,1,9554.375642546547,2,26.0,2,3,1.0,,1,2,2,2,2.0,2,2,2,1.0,1,2,5.0,1,1,0.0,2,2
2372,Algeria,1,5508.641370631518,1,42.0,3,4,1.0,,1,1,1,1,1.0,1,1,3,2.0,1,1,1.0,1,1,1.0,2,1
2376,Algeria,1,8584.469959312888,1,28.0,3,5,1.0,,1,2,1,1,2.0,2,2,3,2.0,3,4,5.0,1,1,0.0,2,2
2377,Algeria,1,90384.87291401476,2,,2,5,2.0,,1,2,2,2,2.0,2,2,1,1.0,1,2,5.0,1,1,0.0,2,2
2378,Algeria,1,8584.469959312888,1,26.0,3,5,1.0,,1,2,2,2,2.0,2,2,3,1.0,1,4,5.0,1,1,0.0,2,2
2383,Algeria,1,5508.641370631518,2,45.0,2,3,1.0,,1,1,1,1,2.0,1,1,1,1.0,1,4,1.0,1,1,1.0,2,1
2385,Algeria,1,11041.493050141178,1,21.0,2,4,1.0,,1,2,2,2,2.0,2,2,1,1.0,1,4,2.0,1,1,0.0,2,2
2386,Algeria,1,6573.648690545499,2,41.0,3,5,1.0,,1,2,2,2,2.0,2,2,2,2.0,1,2,2.0,1,1,0.0,2,2
2387,Algeria,1,11154.154544976907,2,32.0,3,2,1.0,,1,2,1,2,2.0,2,2,3,1.0,1,4,5.0,1,1,0.0,2,2
2388,Algeria,1,6571.513489771775,1,35.0,3,1,1.0,,1,2,2,1,2.0,2,2,3,2.0,1,3,5.0,1,1,1.0,2,2
2393,Algeria,1,13302.944241268218,1,45.0,2,3,1.0,,1,2,2,2,1.0,2,2,2,1.0,1,2,5.0,1,2,0.0,2,2
2396,Algeria,1,34279.682092614385,2,33.0,2,4,1.0,,1,2,1,1,2.0,2,1,3,1.0,1,2,3.0,1,1,0.0,2,2
2397,Algeria,1,30635.364333951544,2,42.0,2,3,1.0,,1,2,2,2,2.0,2,2,3,1.0,1,4,5.0,1,1,0.0,2,2
2404,Algeria,1,5508.641370631518,1,45.0,3,4,1.0,,1,2,1,1,2.0,2,2,7,1.0,1,2,5.0,1,1,0.0,2,2
2410,Algeria,1,27423.74567409157,2,26.0,2,2,1.0,,1,2,2,2,2.0,2,2,3,2.0,2,4,3.0,1,1,0.0,2,2
2413,Algeria,1,9177.806063697033,2,31.0,3,3,1.0,,1,2,1,1,2.0,2,2,2,1.0,1,2,2.0,1,1,0.0,2,2
2414,Algeria,1,30799.80441928804,1,27.0,2,5,1.0,,1,2,2,2,2.0,2,2,2,1.0,1,2,5.0,2,2,0.0,2,2
2416,Algeria,1,52414.05058346035,2,62.0,1,4,1.0,,1,2,1,2,2.0,2,2,2,1.0,1,2,5.0,1,1,0.0,1,2
2420,Algeria,1,25368.52073428163,2,43.0,2,5,1.0,,1,2,1,2,2.0,2,2,3,2.0,2,2,5.0,1,1,0.0,2,2
2421,Algeria,1,5508.641370631518,1,42.0,3,4,1.0,,1,2,2,2,2.0,2,2,2,1.0,1,2,5.0,1,1,0.0,2,2
2422,Algeria,1,26382.358246180647,1,27.0,2,5,1.0,,1,2,1,1,2.0,2,2,2,2.0,1,4,5.0,1,1,0.0,2,2
2423,Algeria,1,6352.897426740321,1,36.0,2,1,1.0,,1,2,2,2,2.0,2,1,1,2.0,2,1,5.0,1,1,0.0,2,2
2425,Algeria,1,9554.375642546547,2,30.0,3,3,1.0,,1,2,2,2,2.0,2,1,2,2.0,1,2,3.0,1,1,1.0,2,2
2426,Algeria,1,23585.276079889383,2,36.0,2,2,1.0,,1,2,1,1,2.0,2,1,2,1.0,1,2,2.0,1,1,0.0,2,2
2428,Algeria,1,5508.641370631518,1,49.0,3,5,1.0,,1,1,2,1,1.0,2,2,3,1.0,1,1,1.0,1,1,1.0,2,1
2429,Algeria,1,24368.663336336802,2,35.0,2,1,1.0,,1,2,2,2,2.0,1,1,3,1.0,1,2,5.0,1,1,1.0,2,1
2431,Algeria,1,9554.375642546547,2,26.0,3,5,1.0,,1,2,2,1,2.0,2,2,1,1.0,1,2,5.0,1,1,0.0,2,2
2434,Algeria,1,40991.79389008004,2,22.0,2,1,1.0,,0,2,2,2,2.0,2,1,2,2.0,2,4,5.0,1,1,0.0,2,2
2436,Algeria,1,40019.45141355029,2,29.0,2,5,1.0,,0,2,1,2,2.0,2,2,2,2.0,2,2,3.0,1,1,0.0,2,2
2438,Algeria,1,25368.52073428163,2,35.0,2,4,1.0,,1,2,2,2,2.0,2,1,2,1.0,1,2,2.0,1,1,0.0,2,2
2439,Algeria,1,5508.641370631518,1,47.0,2,4,1.0,,1,2,1,1,2.0,2,2,1,1.0,1,4,5.0,1,1,0.0,2,2
